well,x_center,y_center,median,mean,stdev,mode,min,max
A01,109,82,277,257.9,47.4,197,176,361
A02,161,82,279,263.4,46.2,201,174,327
A03,214,82,641,710.6,225.7,632,193,1157
A04,267,82,1029,1135.1,439.7,831,262,1738
A05,320,82,984,1101.7,435.6,831,254,1703
A06,373,82,1265,1427.3,619.9,1049,262,2322
A07,426,82,457,462.8,85.7,466,193,730
A08,479,82,414,478.0,138.6,382,245,741
A09,532,82,812,883.7,309.7,695,251,1381
A10,585,82,262,259.2,50.8,207,186,354
A11,638,82,438,468.6,122.3,432,184,823
A12,691,83,2188,2261.1,1078.0,1478,191,3624
B01,109,135,566,677.3,217.9,531,275,1043
B02,162,135,768,862.4,267.2,747,260,1459
B03,215,135,392,435.6,87.1,382,235,644
B04,268,135,508,586.1,150.7,455,317,871
B05,320,135,430,462.1,110.2,367,218,642
B06,373,135,270,263.7,39.8,214,199,348
B07,426,135,275,288.0,40.2,272,191,411
B08,479,135,497,454.6,101.9,503,176,539
B09,532,135,203,216.3,28.9,201,149,287
B10,585,135,287,285.6,28.2,283,180,394
B11,638,135,201,211.8,30.6,201,178,310
B12,691,136,697,837.2,303.5,663,197,1383
C01,109,188,1167,1464.3,721.9,934,256,2700
C02,162,188,560,625.2,168.9,548,254,995
C03,215,188,251,261.6,29.4,245,201,356
C04,268,188,661,731.5,205.2,642,230,1073
C05,321,188,493,508.9,109.7,493,191,892
C06,374,188,212,229.8,32.9,201,180,293
C07,427,188,254,266.0,45.9,228,201,354
C08,479,188,254,244.6,24.3,256,165,277
C09,532,188,188,187.5,7.6,191,165,209
C10,585,188,272,275.6,28.1,268,174,367
C11,638,188,251,251.2,20.8,251,176,340
C12,691,189,663,611.0,144.5,690,186,839
D01,109,241,737,891.8,342.8,711,239,1556
D02,162,241,586,684.8,215.2,556,258,1070
D03,215,241,430,470.7,98.8,417,216,730
D04,268,241,424,463.9,96.0,405,262,724
D05,321,241,991,876.1,236.7,1047,195,1106
D06,374,241,212,218.1,22.1,207,184,291
D07,427,241,209,224.4,30.6,201,182,304
D08,480,241,1275,1134.1,367.5,1306,174,1535
D09,533,241,405,381.0,66.7,407,172,445
D10,586,241,665,599.0,155.3,684,174,749
D11,638,241,285,278.4,30.4,283,174,361
D12,691,242,487,535.1,149.4,459,199,905
E01,110,294,375,444.4,124.5,354,249,942
E02,163,294,520,523.9,117.0,524,195,926
E03,215,294,235,234.1,16.4,228,172,272
E04,268,294,574,578.0,119.5,562,182,921
E05,321,294,214,226.9,28.6,207,188,291
E06,374,294,266,269.2,29.9,268,176,401
E07,427,294,312,305.4,30.6,317,178,367
E08,480,294,716,679.5,163.1,699,182,1119
E09,533,294,241,235.8,21.0,241,176,310
E10,586,294,443,425.9,69.7,438,174,541
E11,639,294,214,220.6,23.0,214,182,314
E12,692,295,405,454.6,130.6,390,182,804
F01,110,347,422,426.9,81.9,415,182,716
F02,163,347,205,207.2,17.1,207,178,365
F03,216,347,218,221.5,19.4,218,172,298
F04,269,347,262,266.5,34.2,262,182,384
F05,322,347,205,217.9,28.6,201,180,293
F06,374,347,207,219.7,27.3,207,178,293
F07,427,347,531,509.3,107.3,518,174,640
F08,480,347,669,643.0,138.5,674,180,1184
F09,533,347,590,547.8,121.3,587,178,690
F10,586,347,627,580.5,147.7,627,178,766
F11,639,347,428,430.8,76.6,432,186,659
F12,692,348,394,419.5,87.5,394,184,667
G01,110,400,739,718.9,171.2,734,191,1413
G02,163,400,218,232.6,33.6,218,182,480
G03,216,400,380,383.6,67.5,382,176,608
G04,269,400,1379,1566.4,680.4,1314,247,2986
G05,322,400,480,522.7,124.4,470,201,772
G06,375,400,647,627.7,136.3,585,188,986
G07,428,400,331,312.4,47.4,346,174,363
G08,481,400,434,399.6,76.9,447,178,537
G09,533,400,314,310.9,26.4,319,197,390
G10,586,400,587,531.6,140.2,592,176,676
G11,639,400,254,249.8,24.7,245,176,327
G12,692,401,625,549.3,153.6,640,165,674
H01,111,453,270,282.4,77.4,209,191,982
H02,163,453,277,325.4,110.6,256,203,1501
H03,216,453,319,323.4,45.1,317,182,520
H04,269,453,718,725.6,236.3,726,188,1417
H05,322,453,889,899.2,364.9,863,193,2078
H06,375,453,482,468.2,85.4,447,182,739
H07,428,453,233,235.6,20.4,228,176,302
H08,481,453,447,397.2,103.7,457,174,497
H09,534,453,382,351.7,71.3,382,176,436
H10,587,453,201,199.7,10.5,201,167,237
H11,640,453,212,210.3,13.3,212,172,268
H12,693,454,268,256.3,29.3,272,172,296
