well,x_center,y_center,median,mean,stdev,mode,min,max
A01,109,82,277,257.9,47.4,197,176,361
A02,162,82,279,263.8,46.4,201,174,327
A03,215,82,643,719.0,226.0,632,195,1157
A04,268,82,1047,1148.0,436.9,831,260,1738
A05,321,82,1012,1117.2,430.5,831,254,1703
A06,374,82,1330,1449.2,613.4,1049,262,2322
A07,427,83,459,467.2,80.0,466,195,730
A08,480,83,429,486.4,138.3,382,245,741
A09,533,83,877,906.4,300.5,695,260,1381
A10,586,83,262,260.1,51.5,207,186,354
A11,639,83,440,482.7,125.8,432,184,825
A12,692,84,2386,2321.5,1061.2,1478,251,3624
B01,108,135,559,666.4,218.1,531,264,1043
B02,161,135,768,853.2,271.4,747,228,1459
B03,214,135,392,433.9,88.1,382,207,644
B04,267,135,508,585.3,151.8,455,279,871
B05,320,135,430,462.1,110.2,367,218,642
B06,373,135,270,263.7,39.8,214,199,348
B07,426,136,275,287.6,39.6,272,191,411
B08,479,136,497,458.5,97.7,503,176,539
B09,532,136,203,215.7,28.1,201,149,287
B10,585,136,289,288.1,27.9,283,186,459
B11,638,136,201,212.2,31.0,201,178,310
B12,691,137,699,844.4,305.1,663,197,1383
C01,108,188,1136,1436.4,727.5,934,216,2700
C02,161,188,560,623.2,169.3,548,218,995
C03,214,188,251,261.7,29.9,245,201,356
C04,267,188,661,725.7,206.7,642,207,1073
C05,320,188,493,504.2,108.4,493,191,892
C06,373,188,212,229.5,32.7,201,180,293
C07,426,189,252,265.9,45.9,228,201,354
C08,479,189,254,245.8,22.7,256,165,277
C09,532,189,188,187.5,7.6,191,165,209
C10,585,189,272,276.4,27.1,268,174,367
C11,638,189,251,251.2,20.1,251,176,340
C12,691,190,663,614.6,140.4,690,178,839
D01,108,241,734,880.8,342.6,711,220,1556
D02,161,241,584,681.4,215.3,556,277,1070
D03,214,241,430,467.7,99.0,417,207,730
D04,267,241,424,464.6,93.3,405,272,724
D05,320,241,989,875.7,236.3,1047,193,1106
D06,373,241,212,217.9,22.1,207,184,291
D07,426,242,209,223.3,29.9,201,182,304
D08,479,242,1278,1148.8,355.4,1306,174,1535
D09,532,242,405,383.1,63.5,407,172,445
D10,585,242,665,606.6,145.1,684,174,749
D11,638,242,285,278.8,29.2,283,174,361
D12,691,243,487,540.5,150.2,459,218,905
E01,108,294,373,441.7,124.6,354,226,942
E02,161,294,520,530.2,119.7,524,195,926
E03,214,294,235,233.9,16.6,228,172,272
E04,267,294,573,574.4,117.4,562,182,921
E05,320,294,214,227.4,29.1,207,191,298
E06,373,294,266,270.1,31.6,268,176,401
E07,426,295,312,305.4,30.1,317,178,367
E08,479,295,718,683.2,155.4,699,178,1119
E09,532,295,241,238.2,20.4,241,176,333
E10,585,295,443,429.5,63.6,438,178,541
E11,638,295,214,219.5,21.0,212,182,304
E12,691,296,405,459.8,133.0,390,245,804
F01,108,347,419,420.5,80.9,415,176,716
F02,161,347,205,207.6,17.2,207,180,365
F03,214,347,218,220.9,18.3,218,172,319
F04,267,347,260,263.3,32.7,262,180,384
F05,320,347,205,219.1,29.7,201,180,293
F06,373,347,207,219.6,27.1,207,178,293
F07,426,348,529,510.7,103.5,518,180,640
F08,479,348,671,653.8,135.3,674,178,1184
F09,532,348,592,555.8,113.2,587,182,701
F10,585,348,629,590.3,136.6,627,178,766
F11,638,348,428,430.5,72.6,432,180,659
F12,691,349,394,424.9,87.2,392,186,667
G01,108,400,739,708.3,156.0,734,188,1367
G02,161,400,218,235.2,39.5,218,184,598
G03,214,400,380,383.6,64.5,382,176,608
G04,267,400,1382,1581.5,674.1,1314,191,2986
G05,320,400,480,530.6,124.0,470,205,772
G06,373,400,650,636.7,132.7,585,188,1031
G07,426,401,331,314.9,44.3,346,174,363
G08,479,401,434,404.7,70.9,447,178,537
G09,532,401,312,309.9,27.0,312,197,390
G10,585,401,587,540.1,131.4,592,176,676
G11,638,401,251,250.5,23.0,245,178,327
G12,691,402,625,558.0,144.2,640,174,674
H01,108,453,296,287.6,77.7,209,191,982
H02,161,453,281,330.3,111.7,256,207,1501
H03,214,453,319,327.3,44.6,317,188,520
H04,267,453,722,739.6,230.6,726,209,1417
H05,320,453,896,936.9,371.6,863,209,2078
H06,373,453,487,475.8,78.2,447,184,739
H07,426,454,230,233.0,17.8,224,182,302
H08,479,454,447,408.3,92.4,436,176,497
H09,532,454,382,358.5,64.5,382,178,436
H10,585,454,201,200.1,9.8,201,172,228
H11,638,454,212,211.0,11.6,212,172,241
H12,691,455,268,259.1,25.9,272,172,296
