well,x_center,y_center,median,mean,stdev,mode,min,max
A01,50,154,2150,1906.4,650.7,2141,230,2914
A02,103,153,2014,1755.5,584.0,2051,241,2687
A03,156,153,1766,1571.0,509.3,1829,230,2553
A04,209,153,1553,1434.3,439.4,1572,235,3072
A05,262,152,1417,1253.5,379.1,1453,230,1889
A06,315,152,1440,1231.8,420.6,1503,230,1635
A07,368,152,1280,1141.5,386.8,1497,230,1518
A08,421,152,1543,1416.9,380.9,1547,233,2299
A09,474,151,1587,1363.1,458.3,1669,226,2710
A10,527,151,2165,1831.3,692.2,2320,224,2412
A11,580,151,1920,1693.6,530.9,1988,228,2521
A12,633,151,1934,1691.7,554.0,2060,239,2137
B01,50,207,2036,1855.4,549.3,2072,239,3265
B02,103,207,1748,1550.3,447.9,1812,243,2055
B03,156,206,1707,1477.9,501.6,1826,241,1883
B04,209,206,1364,1299.9,260.9,1385,283,1812
B05,262,206,1436,1238.6,402.8,1514,235,1816
B06,315,205,1298,1137.0,382.3,1417,235,1543
B07,368,205,1113,1013.7,336.7,1064,228,2207
B08,421,205,1329,1246.8,326.5,1364,239,2102
B09,474,205,1663,1433.4,473.3,1740,237,1787
B10,527,204,1595,1360.2,465.1,1679,226,1740
B11,580,204,1826,1556.9,551.0,1950,239,2015
B12,633,204,1673,1628.4,439.9,1690,245,3511
C01,50,260,1631,1543.0,424.8,1661,235,2603
C02,103,260,1672,1449.1,470.7,1715,239,1997
C03,156,260,1649,1437.2,482.0,1690,237,1948
C04,209,259,1698,1459.3,497.2,1797,233,1854
C05,262,259,1175,1102.9,318.3,1182,241,1472
C06,315,259,1356,1194.9,358.6,1474,237,1509
C07,368,258,1167,1019.4,324.6,1253,239,1335
C08,421,258,1190,1111.6,295.7,1253,235,1871
C09,474,258,1705,1496.8,491.7,1847,249,1961
C10,527,258,1642,1452.3,464.0,1784,237,2116
C11,580,257,1598,1489.9,553.9,1913,239,5178
C12,633,257,1707,1545.0,427.7,1797,237,2398
D01,50,313,1805,1632.5,459.1,1847,239,2324
D02,103,313,1721,1515.1,537.1,1908,243,3122
D03,156,313,1757,1504.1,520.2,1858,260,1992
D04,209,313,1452,1429.4,438.6,1396,251,2824
D05,262,312,1301,1170.5,361.6,1299,277,2194
D06,315,312,1896,1640.3,550.4,1965,262,2584
D07,368,312,1427,1252.9,419.7,1511,256,1801
D08,421,311,1551,1349.3,443.9,1635,256,1787
D09,474,311,1551,1402.4,434.7,1593,270,1925
D10,527,311,1528,1399.0,744.3,1572,254,14896
D11,580,311,1583,1425.2,451.0,1598,247,1879
D12,633,310,1784,1557.5,539.0,1948,243,2039
E01,50,367,1696,1528.1,439.5,1822,275,1940
E02,103,366,1611,1428.6,466.0,1789,249,1837
E03,156,366,1568,1383.6,412.6,1690,258,1759
E04,209,366,1514,1340.7,390.4,1614,306,1709
E05,262,366,1862,1607.1,517.1,1919,275,2110
E06,315,365,1411,1282.5,417.1,1608,245,1698
E07,368,365,1264,1153.3,311.6,1268,264,1658
E08,421,365,1277,1111.5,343.4,1364,275,1499
E09,474,364,1259,1121.4,330.2,1274,298,1553
E10,527,364,1350,1237.4,393.7,1558,254,1640
E11,580,364,1493,1337.0,403.4,1493,264,2099
E12,633,364,1640,1492.4,473.3,1679,254,2177
F01,50,420,1631,1616.5,471.6,1583,243,2757
F02,103,420,1526,1395.6,379.0,1629,249,1784
F03,156,419,1216,1110.7,324.1,1136,241,1761
F04,209,419,1120,1023.8,264.9,1217,251,1514
F05,262,419,1337,1223.6,358.6,1325,239,1583
F06,315,419,1298,1191.0,342.2,1360,249,1532
F07,368,418,1200,1162.8,281.6,1146,249,1934
F08,421,418,1049,987.5,270.6,1020,249,1400
F09,474,418,1251,1189.6,309.4,1228,247,1837
F10,527,417,1182,1066.9,293.9,1192,247,1486
F11,580,417,1343,1237.5,345.6,1335,264,1690
F12,633,417,1268,1169.1,361.0,1264,247,1572
G01,50,473,1873,1868.1,542.0,1858,260,3391
G02,103,473,2141,1887.1,629.5,2234,262,2675
G03,156,473,1950,1855.5,523.8,2013,270,3401
G04,209,472,1381,1245.7,396.3,1385,254,2299
G05,262,472,1383,1234.1,385.8,1532,251,1595
G06,315,472,1388,1321.3,337.5,1360,258,2116
G07,368,472,1509,1365.9,374.7,1526,256,2198
G08,421,471,1415,1267.6,383.5,1436,275,1692
G09,474,471,670,691.7,147.2,619,346,1327
G10,527,471,1192,1063.5,302.9,1238,258,1486
G11,580,470,1136,1039.3,337.3,1157,249,2259
G12,633,470,1125,1006.4,292.1,1131,239,1608
H01,50,527,1669,1578.1,358.7,1640,291,2131
H02,103,526,1553,1537.4,458.9,1583,260,2912
H03,156,526,1724,1607.7,436.6,2005,279,2039
H04,209,526,1289,1150.2,327.2,1325,260,1616
H05,262,525,1671,1490.0,451.2,1694,260,2055
H06,315,525,3378,2876.5,930.9,3532,260,3729
H07,368,525,1854,1698.9,554.8,1856,266,2328
H08,421,525,1934,1693.7,536.6,2020,258,2339
H09,474,524,1694,1492.5,450.2,1755,262,2125
H10,527,524,1787,1545.8,485.8,1837,256,1967
H11,580,524,1543,1360.2,401.3,1608,247,1866
H12,633,524,1616,1480.6,391.2,1658,251,2563
